,SettelementPoint,Year,Hour,Volatility
404,HB_SOUTH,2016,20,0.23567036227827193
405,HB_SOUTH,2016,21,0.24755979329632222
406,HB_SOUTH,2016,22,0.25871917500773656
407,HB_SOUTH,2016,23,0.30401466989465464
408,HB_SOUTH,2017,00,0.26034820219774196
409,HB_SOUTH,2017,01,0.31588345421961594
410,HB_SOUTH,2017,02,0.35375501274776777
411,HB_SOUTH,2017,03,0.3288192937270647
412,HB_SOUTH,2017,04,0.2879482492564137
413,HB_SOUTH,2017,05,0.19026451093351104
414,HB_SOUTH,2017,06,0.19923869034112834
415,HB_SOUTH,2017,07,0.16741717371831658
416,HB_SOUTH,2017,08,0.13898175397940726
417,HB_SOUTH,2017,09,0.11603417337381335
418,HB_SOUTH,2017,10,0.11351127601417009
419,HB_SOUTH,2017,11,0.15223565292368718
420,HB_SOUTH,2017,12,0.20105664123990238
421,HB_SOUTH,2017,13,0.28050881230391883
422,HB_SOUTH,2017,14,0.3680885204534801
423,HB_SOUTH,2017,15,0.46304284087055325
424,HB_SOUTH,2017,16,0.4410474091576842
425,HB_SOUTH,2017,17,0.22324654964010057
426,HB_SOUTH,2017,18,0.16524906343376833
427,HB_SOUTH,2017,19,0.14510056427875626
428,HB_SOUTH,2017,20,0.16189872139907102
429,HB_SOUTH,2017,21,0.1291390406532296
430,HB_SOUTH,2017,22,0.14508544090665962
431,HB_SOUTH,2017,23,0.1866376465715374
432,HB_SOUTH,2018,00,0.24532484094487667
433,HB_SOUTH,2018,01,0.2740449721921939
434,HB_SOUTH,2018,02,0.29772799300690056
435,HB_SOUTH,2018,03,0.2853908099120819
436,HB_SOUTH,2018,04,0.2840837933990363
437,HB_SOUTH,2018,05,0.30520896110341555
438,HB_SOUTH,2018,06,0.4707532673626825
439,HB_SOUTH,2018,07,0.4325115272919416
440,HB_SOUTH,2018,08,0.32478771518512506
441,HB_SOUTH,2018,09,0.25344954410275394
442,HB_SOUTH,2018,10,0.21035209183700146
443,HB_SOUTH,2018,11,0.20010514991006453
